T1-C 1 1 3
T2-C 1 2 3
T3-C 1 3 3
T4-C 1 1 2
T5-C 1 2 2
T6-C 1 3 2
T7-C 1 1 1
T8-C 1 2 1
T9-C 1 3 1
T1-S 0 1 3
T2-S 0 2 3
T3-S 0 3 3
T4-S 0 1 2
T5-S 0 2 2
T6-S 0 3 2
T7-S 0 1 1
T8-S 0 2 1
T9-S 0 3 1
trg1 0 -1 -1
trg2 0 -1 -1
null 0 -1 -1
WCX 0 -1 -1
WCY 0 -1 -1
NIM 0 -1 -1
HX1 0 -1 -1
HX2 0 -1 -1
HX3 0 -1 -1
HX4 0 -1 -1
HX8 0 -1 -1
HX7 0 -1 -1
HX6 0 -1 -1
HX5 0 -1 -1
HX12 0 -1 -1
HX11 0 -1 -1
HX10 0 -1 -1
HX9 0 -1 -1
HX13 0 -1 -1
HX14 0 -1 -1
HX15 0 -1 -1
HX16 0 -1 -1
HY1 0 -1 -1
HY2 0 -1 -1
HY3 0 -1 -1
HY4 0 -1 -1
HY8 0 -1 -1
HY7 0 -1 -1
HY6 0 -1 -1
HY5 0 -1 -1
HY12 0 -1 -1
HY11 0 -1 -1
HY10 0 -1 -1
HY9 0 -1 -1
HY13 0 -1 -1
HY14 0 -1 -1
HY15 0 -1 -1
HY16 0 -1 -1
