pmt,mid,ch
T1-S,3,2
T2-S,3,4
T3-S,3,6
T4-S,3,8
T5-S,3,10
T6-S,3,12
T7-S,3,14
T8-S,3,16
T9-S,3,18
T1-C,4,2
T2-C,4,4
T3-C,4,6
T4-C,4,8
T5-C,4,10
T6-C,4,12
T7-C,4,13
T8-C,4,16
T9-C,4,18
